Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,train_disc_loss,train_disc_acc,test_gen_loss,test_gen_ssim,test_gen_psnr,test_disc_loss,test_disc_acc,Elapsed Time (Seconds)
1,449.53580373128244,0.08755221948441531,11.30037808948093,0.3768567282717817,0.9025925987296635,677.1392037527902,0.08136030712297984,11.139328956604004,0.3407034533364432,1.0,35.70759129524231
2,294.00434197319873,0.12361368546262383,11.46106374528673,0.19077723807522462,0.9505555589993795,675.5792323521205,0.08319790874208723,11.142078876495361,2.158925269331251,0.7714285722800663,8.39841365814209
3,232.1793472855179,0.14126158655379656,11.526673260441534,0.1296912439677561,0.966790125988148,601.413822719029,0.09262155280226753,11.215073994227817,3.2624247585024158,0.7063492082414173,8.27307653427124
4,196.70279928843178,0.15082402809316084,11.563820873366463,0.10001850541032865,0.9744444467955166,516.3008313860212,0.10316330167864049,11.296121631349836,4.926029316016606,0.6880952439137868,8.275741338729858
5,173.85075359768337,0.1564852637425065,11.586978908114965,0.08570180467966772,0.9785185209910076,439.4117368425642,0.11314905221973146,11.366674286978585,7.785269635064262,0.6523809569222587,8.13846492767334
6,156.90157311757403,0.16001448430189932,11.603415035318447,0.07292150549569164,0.9818518540373556,382.5536357334682,0.12119815338935169,11.418214548201789,11.445329058737983,0.626984130768549,8.23738431930542
7,144.1554503183516,0.1622923295678837,11.615375938112775,0.06274644916426805,0.9843915363152823,337.5544727091887,0.12772650666991056,11.457633485599441,14.524869904226188,0.6068027244538677,8.108566045761108
8,133.8702649063534,0.1638224622881454,11.62472149398592,0.05505337795496832,0.986342594275872,301.5543601172311,0.1332962948030659,11.488894939422607,15.843739054032735,0.5851190510605063,8.183400630950928
9,125.24373425142264,0.16498000138197785,11.632356414088498,0.04907709575044187,0.9878189315766465,273.8525810241699,0.1374866168886896,11.512547053988017,17.607509934712972,0.5544973579900606,8.32902455329895
10,117.82059110429552,0.16579765543548597,11.638763401243423,0.04417161757452,0.9890370384189818,250.91588559831894,0.14093554030571664,11.532082326071603,19.157383963039944,0.537142860782998,8.089990377426147
11,111.43285088201968,0.16640365620642297,11.644126076168487,0.04015726974520081,0.9900336712899835,231.62965417837168,0.14381602222656273,11.548406018839254,20.49699415789022,0.5151515188929323,8.361350774765015
12,105.97058864169651,0.1669093900549881,11.648686093754241,0.036811742423879086,0.9908641986824849,215.17391929172334,0.14629009676476318,11.562368824368432,21.590811584677017,0.4948412736079523,8.209137916564941
13,101.17185313395966,0.16734982897232994,11.652679250179196,0.03398075213370765,0.9915669526299861,201.34877798059486,0.14837016550066703,11.573975217211379,22.46184486609239,0.48461538856173614,8.394798040390015
14,96.91021928938609,0.16770816644180625,11.656148642585393,0.03155406306101163,0.9921693131564157,189.32735661097936,0.15018855742349915,11.584038043508725,23.159961595827223,0.48061224871448116,8.071596145629883
15,93.02689691049083,0.16803396626893016,11.659269551877625,0.029450881999218626,0.9926913589459879,179.05054882594516,0.15168735349462145,11.592605536324639,23.742730179287143,0.4790476227800052,8.293021202087402
16,89.51682824956048,0.1682921063892233,11.66203984419505,0.027610500558325052,0.9931481490118637,169.98458700520652,0.1529893122746476,11.600057474204473,24.234810618417608,0.4782738131470979,8.108756065368652
17,86.31879543977627,0.1685144813926099,11.664530460507265,0.025986590211070616,0.9935511990699893,161.81711238572578,0.15413573027408423,11.606779563326796,24.653714630784112,0.47703081588534746,8.143854141235352
18,83.37381967261986,0.1687063611043548,11.66680325402154,0.02454309595994604,0.9939094657883233,154.66878639705598,0.15512994304299352,11.612539321657213,25.01403989678338,0.4751322786841128,8.235315561294556
19,80.7520091865495,0.1688575029819768,11.668773235075657,0.02325151498551532,0.9942300202205168,148.2276883519682,0.15598211773580176,11.617699250242765,25.322908496498172,0.4729323344011056,8.0784273147583
20,78.30182664235434,0.16898620886210766,11.670590943230524,0.02208910716146834,0.994518519209491,142.06722346714565,0.15678193776735236,11.62264199938093,25.592995515891488,0.4721428606659174,8.067124605178833
21,76.09488535886089,0.16909652931132801,11.672174254927056,0.02103738010710257,0.9947795421042771,136.62244712414386,0.15749261639758844,11.62692131639338,25.834884651664165,0.46916100124315335,8.18245267868042
22,74.05078896705551,0.16919359335337172,11.673627071187953,0.020081236971490137,0.9950168356449918,131.58700588771276,0.1581400873308832,11.630921933558081,26.046641828177812,0.4664502199497315,8.12878155708313
23,72.05262087669927,0.16928915331851027,11.67503922780355,0.01920822513047922,0.9952334949647748,127.01996106686802,0.15871847152524854,11.634437940135507,26.245915177445973,0.4625258833540152,8.1749906539917
24,70.26692750365648,0.169324855210639,11.676168260750948,0.01840796252561203,0.9954320993412424,122.85089324769523,0.15922440211510375,11.637633300962904,26.42247617386636,0.460515876433679,8.100926399230957
25,68.55878172302248,0.16936830051160523,11.67728284623888,0.01767172682916908,0.9956148153675928,119.01693016052248,0.15968493116753443,11.640494428362167,26.606181876318796,0.45123809874057763,8.098620414733887
26,66.94789281584261,0.16939913723538197,11.678272365097307,0.016992111089802683,0.995783476314993,115.45686499627082,0.1600592670614248,11.643092255015953,26.768905342280213,0.4461538497726995,8.075672626495361
27,65.36487240496979,0.1694208260066041,11.67925964088597,0.016362875123380558,0.9959396438588821,112.03663134701038,0.16042139207717604,11.645537517688895,26.91198559539028,0.4433862469577915,8.068384885787964
28,63.88936013267155,0.1694252374042417,11.68008881409963,0.015778543417226627,0.9960846565782078,108.73724304899879,0.1607428956016594,11.647902245424234,27.03907423238365,0.4426870784361143,8.069976806640625
