Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,train_disc_loss,train_disc_acc,valid_gen_loss,valid_gen_ssim,valid_gen_psnr,valid_disc_loss,valid_disc_acc,Elapsed Time (Seconds)
1,4.30600774553087,0.10843182618005408,11.409280480278861,0.17329108517021977,0.9510416666666666,9.111244288357822,0.07594270801002329,11.067319956692783,0.6759516596794128,0.9630681818181818,25.86947274208069
2,3.4683992928928795,0.13285041226901942,11.51897916264004,0.09612765363595423,0.9743055555555554,10.071507323871959,0.07331406291235576,11.085088383067738,0.43348256904970517,0.96875,10.395653486251831
3,2.8152737811759665,0.1375592170973067,11.550787604296646,0.06722075454254756,0.9825231481481481,10.29628612055923,0.08617488768967714,11.190711368214002,0.6402861679142172,0.9081439393939394,10.204652786254883
4,2.398337303267585,0.14312027087952528,11.574978277418346,0.05747776803378252,0.9855034722222222,9.015645330602473,0.09617572751912204,11.274397958408702,0.5367568959058686,0.9268465909090909,10.173471689224243
5,2.113779255549113,0.14774000021732517,11.592841864691838,0.04769145694210932,0.9881249999999999,7.549826632846485,0.10537891333753413,11.341168039495296,0.961183373291384,0.8301136363636363,10.26237416267395
6,1.900574768472601,0.15103180880002953,11.605987894976579,0.0405140905892443,0.9898726851851851,6.496733811768618,0.11277106652657191,11.390464782714844,1.5860867850821128,0.7608901515151515,9.9603431224823
7,1.7247341746375677,0.15381835192619334,11.61716312226795,0.03480091935264398,0.9913194444444444,5.681338953507412,0.11954791379439367,11.431504026635901,1.9769283910947186,0.7183441558441558,10.228549718856812
8,1.5810228263338408,0.15595853458831294,11.626247341103024,0.03050399414681956,0.9924045138888888,5.056675444272432,0.12497024644504895,11.463227228684858,2.3471101324751293,0.6754261363636364,9.993478775024414
9,1.4608258199544601,0.1576515568604256,11.633875407701659,0.027176889168548768,0.9932484567901234,4.551955078888422,0.1295923333276402,11.489435398217402,2.7071654693120055,0.6379419191919191,10.23545217514038
10,1.3586176380515098,0.15899308469353451,11.640412243737115,0.02447497756368743,0.993923611111111,4.138796364448288,0.1334523053331809,11.511028775301847,2.884605146978389,0.6196022727272726,10.008928060531616
11,1.2735049026482033,0.15999330795285377,11.645707885665125,0.02226100657586005,0.99447601010101,3.8007241026921714,0.13663039658187837,11.52851835361197,3.0239821577921875,0.6045971074380164,9.638123512268066
12,1.2001920382457751,0.16083172119429542,11.650303448571101,0.020415004513567262,0.9949363425925926,3.514378927422293,0.13927483332879617,11.543375159754897,3.167297142388468,0.5861742424242423,10.134596109390259
13,1.1347286277601862,0.16153675224632025,11.65447537511842,0.018855538727851947,0.9953258547008547,3.2700161172168243,0.14145936332382525,11.555988391796193,3.366705480494074,0.5655594405594405,9.538867235183716
14,1.0786236099544027,0.1620530572305951,11.657894698400346,0.017518337187586653,0.9956597222222222,3.060412066323417,0.14333115972868812,11.566757480819504,3.552222849027096,0.5436282467532467,10.142624378204346
15,1.0276365169551638,0.16252787922129588,11.661090145817509,0.016356505506612013,0.9959490740740741,2.8784561126521147,0.1448979151971413,11.576016564802691,3.7492557347949704,0.5278409090909091,10.133429765701294
16,0.9837154832461642,0.1628796460507955,11.663708937830396,0.015340270436773353,0.9962022569444444,2.7184299810535535,0.1462911405515942,11.584194378419356,3.886092326455665,0.5142045454545454,10.09949803352356
17,0.9432277556338342,0.16322042561117925,11.666169018215603,0.014441563617137877,0.9964256535947712,2.5749510057310374,0.14755237939204766,11.591493917659006,3.985154324933329,0.5023395721925134,10.2055504322052
18,0.9067346489815802,0.16349478263614906,11.668315578390052,0.013641703050002665,0.9966242283950617,2.4479079675493822,0.14861676668879967,11.59785427228369,4.098659984635734,0.49258207070707066,9.770167112350464
19,0.8734286984330731,0.163731482397351,11.670247417026097,0.012927737122725658,0.9968019005847953,2.3330551866424147,0.14955810289919097,11.60363706561367,4.217356336975924,0.48250598086124397,10.070752382278442
20,0.8437955576429766,0.16389804065124028,11.67183479838901,0.01228441483470593,0.9969618055555556,2.229416171054949,0.1504012101753192,11.608814412897285,4.354626033201136,0.47073863636363633,10.091326713562012
21,0.8157453223511026,0.16407220069437273,11.673399101741731,0.01170232625804063,0.9971064814814815,2.134398597401458,0.15114237168134553,11.613501660235517,4.521475874193947,0.46036255411255406,9.865408182144165
22,0.7903366658949493,0.16420714598468908,11.67473483567286,0.011172365586380168,0.9972380050505051,2.049801363309553,0.15178672963183779,11.617635533829366,4.641152093925874,0.45247933884297514,10.099194765090942
23,0.7667296635931818,0.1643373922728326,11.675943738135738,0.010688523928162183,0.9973580917874396,1.9721109936006458,0.15235213729232672,11.62126855510968,4.750420129066517,0.44602272727272724,9.629664659500122
24,0.744643426783107,0.16443896851657577,11.677051941995266,0.010245080468058262,0.9974681712962963,1.8995102641708925,0.15291915252578983,11.62470719308564,4.8150088043855215,0.439749053030303,10.003453969955444
25,0.7238897159430716,0.16451412859145137,11.678031866709391,0.009837210763582006,0.9975694444444444,1.8329610892317512,0.1534488680687818,11.627776617570355,4.884508039043707,0.4327272727272727,10.030551195144653
26,0.7047704046225955,0.16455880984202279,11.678834227211455,0.00946037990841291,0.9976629273504274,1.7697246224209144,0.1539329208589934,11.630685882968502,4.9448075125293505,0.42591783216783213,9.984172582626343
27,0.6870990283082051,0.16458056653646652,11.679487341029162,0.009111349485894598,0.9977494855967078,1.7117735768357913,0.1543690413236618,11.633212256511854,4.993405576268531,0.4197180134680134,10.11124300956726
28,0.6699914436728235,0.16458956402253416,11.68009872209458,0.008786939507040445,0.997829861111111,1.6580168224338974,0.15473171396108418,11.635468839050887,5.035157949663699,0.4148741883116882,9.685195207595825
29,0.653931608493529,0.16456741892101093,11.680589392724164,0.008484763048777216,0.99790469348659,1.6077130340670345,0.1550203159591621,11.637450869927958,5.094846027176302,0.4110501567398118,10.13692593574524
