Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,train_disc_loss,train_disc_acc,test_gen_loss,test_gen_ssim,test_gen_psnr,test_disc_loss,test_disc_acc,Elapsed Time (Seconds)
1,10.128289466434055,0.01017565687911378,10.775811979505752,0.2503381507316352,0.9418518529997932,8.403601510184151,0.02492699133498328,10.927349363054548,1.0473950249808175,0.5,23.492292404174805
2,9.518927918540108,0.014186620474275616,10.81201196246677,0.125174658832235,0.9709259264998966,8.218247243336268,0.026620098655777316,10.931489740099225,1.584847092628479,0.5,3.079986572265625
3,8.874756987889608,0.019133515821562874,10.854508424688268,0.09047631658352458,0.9806172843332644,8.025390216282435,0.02887174868512721,10.943549882797967,1.9533306076413108,0.5,3.140580654144287
4,8.344766941335466,0.023772018206202318,10.894571606318156,0.08737430451650302,0.9825925941268603,7.730060815811157,0.032744314188935926,10.971096788133893,1.83442827633449,0.5178571449858802,3.066617727279663
5,7.950670636494955,0.027757221576240325,10.929059113396537,0.07073254399070115,0.9860740753014883,7.399612045288086,0.03565231343465192,10.995392526899064,2.1127692767551967,0.5123809541974749,3.130693197250366
6,7.607390944163005,0.031251731301071464,10.959305777373137,0.059648333244376794,0.9883950627512402,7.101430018742879,0.038249808008826915,11.018839540935696,2.342567347344898,0.5063492080995015,3.0914015769958496
7,7.295697778368754,0.034599871827023364,10.988086711035834,0.05166271232660983,0.9900529109296344,6.8085436237101655,0.04101481824657138,11.044184587439712,2.5971014888919126,0.500000001824632,3.0146474838256836
8,6.9907871372169925,0.0381192524658723,11.01752031246821,0.04555545898045417,0.9912962970634301,6.515064614159721,0.04430325538851321,11.071553025926862,2.839032824550356,0.49464285905872074,2.9984495639801025
9,6.7079285009407705,0.0415842685572527,11.04521360632814,0.04070977693495649,0.9922633751674934,6.284893334858001,0.0467797275041304,11.093118107508099,2.8984618149106463,0.4899470919654483,3.042604446411133
10,6.440973224110074,0.0450433374237683,11.071797047721015,0.03680574792695453,0.993037037650744,6.023145706312997,0.05019325834832021,11.118979031699045,3.0343621730804444,0.48523809739521573,3.1365795135498047
11,6.186085891482807,0.04850328105943973,11.09737332083962,0.03357756600990807,0.9936700342279491,5.770621392634008,0.053729564604627626,11.144255217019612,3.1631498212938185,0.480952383248837,3.147590398788452
12,5.944929132417397,0.05191794095422934,11.121661761071946,0.03094227598208667,0.9941975313756201,5.5300938969566715,0.057287256876450206,11.168695313589913,3.2819172115552995,0.469841272259752,3.1370930671691895
13,5.718259499215673,0.05519057371231735,11.144453026698185,0.028669188462771503,0.994643875115957,5.307845492939373,0.06078749016991684,11.191460619915972,3.3219828736651076,0.4641025666515906,3.086207628250122
14,5.50909057817762,0.05828767643265781,11.165489079460263,0.02681504367572431,0.9950000004635916,5.105927075658526,0.06410037002013046,11.212381975991386,3.444797343137313,0.4448979618598004,3.055398941040039
15,5.316952940799573,0.06119111420103797,11.184795206564443,0.025106526122608903,0.9953333337660187,4.917736328215826,0.06723076585857642,11.231808798653738,3.4473727930159797,0.4431746058520817,3.101458787918091
16,5.13774801294009,0.06396992246154695,11.202806143628225,0.023601149915558364,0.9956250004056426,4.745962219578879,0.07009181212301233,11.24953659943172,3.444223014371736,0.44226190753813305,3.0669987201690674
17,4.970890337968965,0.06663972106975279,11.219619661842295,0.02223407043685061,0.9958823533229577,4.591041293464789,0.072847268332829,11.266045065487132,3.459363823177434,0.4394958011743402,3.045525074005127
18,4.815224340742018,0.06916619625954348,11.23530492076167,0.02101769810521075,0.9961111114716823,4.44546422788075,0.07552647476808892,11.28146729393611,3.4987185209516496,0.43280423574504406,3.0157692432403564
19,4.6731611795592745,0.07152478160957494,11.249591882047596,0.019939127520061262,0.996315789815278,4.316836667240113,0.07772939936502983,11.294164420966815,3.5319411898017825,0.42606516596966226,3.0155751705169678
20,4.54000408920977,0.07375584305367536,11.26292371061113,0.018977826820868265,0.9965000003245141,4.191655043193272,0.08001622519056711,11.306998804637365,3.6000600542340964,0.4176190506932992,3.111884355545044
21,4.415402435688747,0.0758923959262945,11.275443766861365,0.018114763665812588,0.9966666669757277,4.073953069797178,0.08218628161770551,11.319046876868425,3.719445462129554,0.4058956947861886,2.93276047706604
22,4.2979132433732365,0.0779477875698546,11.287257393442019,0.017323973959237456,0.9968181821131946,3.963109794375184,0.08425602315646874,11.330371596596459,3.789137064636528,0.3984848517295603,2.9798226356506348
23,4.187322923526674,0.07991212421965196,11.298389640292108,0.0165914957676013,0.9969565220213166,3.8625421894263035,0.08616684741624024,11.340714259177263,3.845611903978431,0.3929606658053694,3.0678436756134033
24,4.084332313471372,0.08175733813981491,11.308755327154088,0.015937318087876275,0.9970833336037618,3.7691186162687482,0.08803168270692584,11.350696313948859,3.9638268947601323,0.38055555881666286,2.956998109817505
25,3.987729464213055,0.08350685077077813,11.318513434939915,0.015335154997553124,0.9972000002596113,3.678285289491926,0.08982121913560798,11.3600356565203,4.044136048725673,0.3739047651418618,2.9783148765563965
26,3.8970054843996342,0.08515571449907162,11.327648058508196,0.014756129575968786,0.9973076925573185,3.5928305610195617,0.09151338641582936,11.368698911352473,4.073235082102347,0.3741758274794607,2.94545316696167
27,3.8118224768481643,0.0867417494593947,11.336269341378545,0.01421274782446876,0.9974074076477882,3.511568438439142,0.09311480105672247,11.376864069984073,4.107768250520898,0.3742504442928644,3.007784843444824
28,3.7318468492655543,0.08823716124401441,11.344335967396932,0.013707110990886975,0.9975000002317957,3.4385616140706197,0.0945734776537485,11.384412449233386,4.12496883285289,0.37448979935095617,3.0606613159179688
