Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,train_disc_loss,train_disc_acc,valid_gen_loss,valid_gen_ssim,valid_gen_psnr,valid_disc_loss,valid_disc_acc,Elapsed Time (Seconds)
1,34.78864004347059,0.11176242900287942,11.411287360721166,0.2013845907645494,0.942361111111111,75.13976010409269,0.08133772421966899,11.10606540333141,0.23548567566004666,0.9943181818181818,20.720762491226196
2,24.950333950254652,0.14020104560121482,11.526210594177247,0.10265587519274201,0.9708333333333332,74.32230411876333,0.08427803489294919,11.135404066606002,0.1221608000447635,0.9957386363636364,9.746849775314331
3,20.615911317754676,0.1500920812478634,11.57083736702248,0.06977804241537004,0.9805555555555555,69.04419141827208,0.08999717122677602,11.195496877034506,0.10807194092635518,0.9924242424242425,10.180858850479126
4,17.624837991926405,0.15513531881669124,11.596964783138699,0.05293292184499094,0.985329861111111,62.382150563326746,0.09840142625299367,11.263051098043269,0.21070674802480094,0.9779829545454546,9.839758157730103
5,15.453948046366374,0.15860707476217714,11.615618334876165,0.04406948292946917,0.987986111111111,54.3704105723988,0.10660770129073749,11.328501944108442,3.4429240957908904,0.8823863636363637,9.861834526062012
6,14.169870612356398,0.15953696130999123,11.626428831948175,0.3244223969159462,0.9662615740740739,46.607421427062064,0.11529250397826685,11.38645281936183,3.01290234152825,0.8617424242424243,9.809436082839966
7,13.185716109048753,0.16038901518128576,11.634544775221084,0.2825938659656239,0.9704861111111109,41.07747235855499,0.12246905654281763,11.429544708945533,4.219490845844239,0.8287337662337663,9.745835065841675
8,12.29081887404124,0.16155862080437752,11.641773303349813,0.2513773215350545,0.9734374999999998,36.61457628011704,0.12848162278532982,11.463356657461686,4.483209622494107,0.7631392045454546,9.630399465560913
9,11.476762752179745,0.16256646698536237,11.64804264822124,0.22489241256024467,0.976003086419753,33.03097758148656,0.13300313492013952,11.489914691809453,5.464972935823398,0.6856060606060607,9.900319337844849
10,10.755563944710625,0.16328220334887092,11.653238670561048,0.20254366662620807,0.9784027777777776,30.137802713567567,0.1364795604890043,11.511048143560236,6.187437071837005,0.6269886363636364,9.808627128601074
11,10.121781988095755,0.16380510886124514,11.657598163142351,0.18415247501622156,0.9803661616161615,27.778675126635346,0.13920014653324098,11.528035116589761,6.675145176061847,0.5826446280991736,9.733107566833496
12,9.574343582215132,0.164221635189649,11.661236263204506,0.16881304319402646,0.9820023148148147,25.73051329995647,0.14153652875260875,11.542613340146616,7.022566917478978,0.548532196969697,9.997838497161865
13,9.089041930793696,0.16450245947592979,11.664234043186546,0.1558305966232578,0.9833867521367521,23.97190287730077,0.14350154401955906,11.55485804764541,7.282236505416668,0.5198863636363636,9.866624116897583
14,8.652879799169208,0.16468960485931133,11.666705459261697,0.14470188234391101,0.9845734126984126,22.46291787128944,0.1451232893900438,11.565135330348822,7.4670467757822125,0.4953327922077922,9.699694156646729
