Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,train_disc_loss,train_disc_acc,valid_gen_loss,valid_gen_ssim,valid_gen_psnr,valid_disc_loss,valid_disc_acc,Elapsed Time (Seconds)
1,34.43206559287178,0.10949677532642253,11.413657803005643,0.20406416880189984,0.9340277777777778,72.25130462646484,0.082059961150993,11.124579342928799,0.43117779764262115,0.9971590909090909,25.64219379425049
2,23.53336266941495,0.1404826261387724,11.53612444135878,0.10302420082469614,0.9668402777777778,67.90699230540882,0.08988002349029887,11.184583143754438,0.21989088742570445,0.9985795454545454,10.391265392303467
3,18.995164046464144,0.1532561738923606,11.584304318604646,0.07447801300647362,0.9766203703703704,56.719302032933086,0.1016709456841151,11.285863876342773,0.26724906231869355,0.9848484848484849,10.536272048950195
4,15.989835312631396,0.15904324809477355,11.610857966211107,0.05790934010055525,0.9821180555555556,48.57996155998923,0.11096855727109042,11.359086253426291,1.4893147770146078,0.9240056818181819,11.323469877243042
5,13.941328474680583,0.16290033464113046,11.628516900804309,0.04778049332424038,0.9854861111111113,41.718499253012915,0.11824765774336728,11.415231930125843,3.48320736783472,0.8352272727272728,10.58734917640686
6,12.467182993005823,0.1647338295519283,11.640499925613405,0.04039588941163246,0.9878472222222223,36.36198834216956,0.1243368527202895,11.45782892631762,5.462778159219659,0.7528409090909092,10.530254602432251
7,11.3030075421409,0.16608177450308134,11.649665163433742,0.034726667138427494,0.9895833333333334,32.025144019684234,0.12997081430701465,11.491743744193732,7.001363961001881,0.6822240259740261,10.300110101699829
8,10.359749346971512,0.16708986076927332,11.656944751739504,0.030463300953261,0.9908854166666667,28.54093065586957,0.13469405269080942,11.518462148579683,8.125522425948557,0.5990767045454546,10.947774887084961
9,9.578753212351858,0.1678749574618529,11.662833210274027,0.027122378542633722,0.9918981481481483,25.741867604881826,0.138710684999071,11.539944494613492,9.430215302779517,0.5340909090909092,11.011260509490967
10,8.924769990709091,0.1684545047306973,11.667670645183989,0.0244235780117543,0.9927083333333334,23.45667045983401,0.1420521996238015,11.557317595048383,11.044796620207753,0.48068181818181827,10.985614538192749
11,8.368969160378581,0.16887586737437307,11.671628524317889,0.022214925786983895,0.9933712121212122,21.558628726596677,0.1448368102558388,11.571588232497538,12.253605383024974,0.43698347107438024,11.052537441253662
12,7.889316071845866,0.16920296226033113,11.674903102274298,0.02036767676270191,0.9939236111111112,19.96310896945722,0.14711594130053665,11.583429647214485,13.165444595823912,0.4005681818181819,11.061608076095581
13,7.472667109864389,0.16944420073205269,11.677638622023105,0.01880475914668244,0.9943910256410257,18.59746200221402,0.14907261427049037,11.593364268749744,13.8890024244629,0.3697552447552448,11.0272696018219
14,7.110766031817784,0.16962061734123537,11.679904945312988,0.01746464250902158,0.9947916666666667,17.427851844143557,0.15070130027733838,11.601766542954879,14.604132941428137,0.3433441558441559,10.935815334320068
15,6.791342333599373,0.16974256901104967,11.68180335150825,0.016302500135191696,0.9951388888888889,16.40678428230864,0.15207207907329906,11.608910554828066,15.274679349791825,0.3204545454545455,11.01617431640625
16,6.504346134430833,0.16981352724283674,11.683402456177609,0.015285749918207024,0.9954427083333334,15.518558374860072,0.153220769779926,11.6149998198856,15.890674703182993,0.3004261363636364,11.04030728340149
17,6.245153285942826,0.16984693077210264,11.684757812350407,0.014388573430179642,0.9957107843137256,14.73042399041793,0.15419453605611055,11.620327546634776,16.44585481272104,0.2827540106951872,10.954557418823242
18,6.011188772725471,0.16985560272343136,11.685883471406537,0.013590356781909745,0.9959490740740742,14.019059265502777,0.15504813532937656,11.625079607722734,16.914269238729222,0.2670454545454546,11.002490758895874
19,5.79632947173035,0.16984101440076724,11.686818622566804,0.012875925961035525,0.9961622807017545,13.375929331665406,0.1557931070122422,11.629187593049409,17.285869409896115,0.2529904306220096,11.000718832015991
20,5.5998588158024685,0.16979027551366016,11.687570826742386,0.012232881435758933,0.9963541666666668,12.793927631053059,0.15643180662935427,11.63283393166282,17.619269001229924,0.24034090909090913,10.897251844406128
21,5.418339175774308,0.1697249772241487,11.688157645230572,0.01165113921028925,0.9965277777777779,12.265219780789826,0.1569416182381766,11.636004864911495,17.940305258562688,0.22889610389610393,11.0423002243042
22,5.251975063964575,0.16963859452851907,11.688599283526644,0.011122083560005665,0.9966856060606062,11.792046517380015,0.15739916283483346,11.638672832615118,18.2418797338951,0.21849173553719012,11.119994401931763
23,5.098468208025044,0.16954446813150126,11.688921933012887,0.01063892833130182,0.9968297101449276,11.348951456103874,0.15783387098623355,11.641165062372863,18.471020689845208,0.20899209486166012,11.009020566940308
24,4.95339432982383,0.16943066701254186,11.68913010756175,0.010196014030737324,0.9969618055555557,10.938500185807548,0.15820761544234824,11.64335243990927,18.660868712235246,0.20028409090909094,11.072022914886475
25,4.817383191903432,0.16929609553246863,11.689216301812069,0.009788548678318947,0.9970833333333334,10.561035222573716,0.15848621384664013,11.645251988497646,18.860555782981898,0.1922727272727273,11.003447771072388
26,4.690071280746379,0.16914677375621107,11.68921273549398,0.009412452188375425,0.9971955128205129,10.210780406748501,0.15871303403502576,11.646893567972247,19.054551967178718,0.1848776223776224,10.813874959945679
27,4.572162272213909,0.1689990909890858,11.689128542927559,0.00906412787695532,0.9972993827160495,9.885878338556903,0.1589456574383007,11.648346923417112,19.21378476913981,0.17803030303030307,11.326352596282959
28,4.460289851682527,0.16884092391923158,11.688950308920846,0.00874061059081876,0.9973958333333334,9.580258650052086,0.15914884069329732,11.649618987913254,19.33247863686366,0.17167207792207795,11.283066272735596
