Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,valid_gen_loss,valid_gen_ssim,valid_gen_psnr,Elapsed Time (Seconds)
1,0.3371959182951186,0.10942912860773504,11.414455689324274,0.744790413162925,0.07412769035859541,11.059166301380504,15.529776096343994
2,0.2234575049744712,0.13836676940684103,11.532397312588163,0.7210120504552668,0.07772623476657001,11.087038386951793,7.329281806945801
3,0.176359576649136,0.15163305124992296,11.58125699007953,0.616718666120009,0.08983256825895021,11.187537077701451,7.399152994155884
4,0.1489493906497955,0.158591715446932,11.6086623483234,0.520427561619065,0.10123634778640488,11.277439009059558,7.306618690490723
5,0.13024545894728765,0.16261543667461306,11.626333955128988,0.4487857309254733,0.11016531315716831,11.343977407975629,7.762084007263184
6,0.11651486886872185,0.16517926534137653,11.638760430724533,0.3920757400267052,0.11771011646046785,11.395503044128418,7.709400177001953
7,0.1060204697979821,0.1669108828817982,11.647948325626434,0.34493793140758167,0.12453002860019735,11.437490797662116,7.579973459243774
8,0.09748544966181119,0.16822134634777386,11.655297168095906,0.30739484253254806,0.13027776523747228,11.470455191352151,7.5877296924591064
9,0.09052467728838508,0.16914779799300486,11.66107660929362,0.27758197110108657,0.13490883193232797,11.496320223567462,7.37424373626709
10,0.08479133195347256,0.16983736481672773,11.665687563154432,0.25261448892680083,0.13890774818983945,11.51813353625211,7.640954256057739
11,0.07991407531680482,0.1704059187186449,11.669512270917796,0.23223625579156168,0.14218816284305794,11.535645413989863,7.637221813201904
12,0.07574940754307641,0.17083627502735774,11.672652479454323,0.21503562231858572,0.14496177220434853,11.550298820842398,7.604172706604004
13,0.0721306768238035,0.1712175238571074,11.675402848333375,0.20058159769831838,0.147326136698256,11.562490870068958,7.628316402435303
14,0.0689385426895959,0.17152775286970331,11.677729752707105,0.18850642674929136,0.1492814759348894,11.572693502748168,7.457073450088501
15,0.06617659639429163,0.17175285908738494,11.679609375706427,0.17767632404963177,0.15094706596750201,11.581645849979285,7.648208379745483
16,0.06359568768077427,0.17195749359250637,11.681324548191496,0.16800295426086945,0.15246650686656887,11.589682481505655,7.6679277420043945
17,0.06118401822700999,0.17212307136475405,11.682846344218536,0.1593876012506332,0.15376556007301106,11.596735148506369,7.615853786468506
18,0.05908064989396083,0.1722343906653861,11.683990705749137,0.15176638027634282,0.15489621234662607,11.602870950795184,7.6587371826171875
19,0.05708160853525351,0.17234103508723886,11.685044844108718,0.14482417317668786,0.1558954622329137,11.608289431156726,7.5912230014801025
20,0.05523932867579989,0.1724186136312265,11.685880946053402,0.1386006395925175,0.15674417093396187,11.612931368567727,7.62057900428772
21,0.053650592685376516,0.1724577153158231,11.686419148924491,0.13311084034122947,0.1575159520813913,11.616839916675122,7.585509300231934
22,0.05218177711722826,0.17252933557469846,11.686990573671132,0.12807415709022651,0.15828405837874768,11.620488667291058,7.584903001785278
23,0.05079784571836535,0.172553570833786,11.687369454886028,0.12334948919507358,0.15892489672649518,11.624029359327475,7.510165214538574
24,0.04944571449800773,0.1725833268894348,11.687726571824818,0.11902571672743019,0.1594646536378246,11.626870921163848,7.582550287246704
25,0.04821690869331359,0.172576558602146,11.68789762539334,0.11495809511704881,0.15995500017296183,11.62949122688987,7.4340808391571045
26,0.047089662103571434,0.17254526818183086,11.687897155631305,0.11117632343218878,0.160412843931805,11.631762561264573,7.671870231628418
27,0.046018538332770385,0.17251976380649758,11.687870909059002,0.10762827504764906,0.16084336436758134,11.633925656276922,7.711339235305786
28,0.045032364153672774,0.17248653014881596,11.68776999768757,0.10442571419400057,0.16123659342720909,11.635849943408719,7.6729512214660645
29,0.04414437472591912,0.17244989392311952,11.687609986783905,0.10142217384984129,0.16157349729239004,11.637487181301776,7.670964002609253
30,0.04334248602390289,0.17241526113529862,11.6874661509196,0.09880457267616735,0.16191896042137432,11.639046160380046,7.638190746307373
31,0.042512486057896766,0.17239336532634086,11.68741637746066,0.09607591744392151,0.1622222599920289,11.640554909132792,7.548338174819946
32,0.041679909349315696,0.17236263590473552,11.687298239933124,0.0934989547187632,0.16248551861975677,11.64185696569356,7.596125841140747
33,0.040903796551604865,0.17230328132730818,11.686997822719798,0.09105618203638671,0.16271381868311194,11.64293640441474,7.544568777084351
34,0.04013744045316783,0.1722414100230702,11.686677567787424,0.08883605092604531,0.1629067940667351,11.643880935913739,7.700985670089722
35,0.03943557309725928,0.17218093701224363,11.686328092302599,0.08668157450564497,0.16309254386208272,11.644703661931024,7.616971254348755
36,0.03877122781158965,0.1721067097352783,11.685906982716222,0.08472982018884988,0.16326168232192895,11.645402549493191,7.544122219085693
37,0.03813560060910634,0.17203478287757226,11.68546978489415,0.08284919238500572,0.1634020283269062,11.64601959584679,7.616179943084717
38,0.037503985232777065,0.17196796358173594,11.685078331740979,0.08107540367893055,0.16354439336289628,11.646567921889456,7.495127201080322
39,0.03689092640523557,0.17190153520604717,11.684659832902787,0.07931605710849897,0.16367539853760688,11.647122707678164,7.700738430023193
40,0.03630256886283557,0.17183018978206543,11.68421501292123,0.07769818617538973,0.16379784752022136,11.647615777362477,7.6749818325042725
41,0.03576045296379544,0.17175318010310392,11.683723186865087,0.07608702640047096,0.16389794436235913,11.647973633658331,7.67924427986145
42,0.035204664692676885,0.17167801352737658,11.683248697765292,0.07455793281138202,0.16399151689949487,11.648249617902747,7.553400278091431
43,0.034694820858095346,0.17158770924253575,11.682658410626791,0.07311903397074211,0.16407256174919216,11.64850011184402,7.617672920227051
44,0.034198014678979156,0.17151600597273425,11.68219386375312,0.07175087953401992,0.16416689002316842,11.648835030469028,7.519663572311401
