Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,train_disc_loss,train_disc_acc,test_gen_loss,test_gen_ssim,test_gen_psnr,test_disc_loss,test_disc_acc,Elapsed Time (Seconds)
1,5.529433854420979,0.08291056517304646,11.285116015540227,0.22778730752983797,0.9407407422860463,7.816330705370222,0.08978537789412908,11.203637395586286,0.5235887212412698,0.976190481867109,63.99319124221802
2,4.392900741100311,0.11749595013033184,11.446252923541598,0.12313541314920763,0.9690740760829715,9.438903978892736,0.0805708702121462,11.151249204363141,0.6503732518426009,0.9309523957116264,50.91776084899902
3,3.956761158837212,0.12398249191335504,11.481686433156332,0.09693080402272851,0.9775308670821015,9.903935500553677,0.07877203289951597,11.173130671183268,0.7393659431753413,0.93015874567486,51.46719479560852
4,3.619238304429584,0.12378605870374788,11.491974703470866,0.08087852198375711,0.9814814845720928,9.547256146158492,0.08352145472807543,11.230772835867747,0.7810686795356949,0.9392857274838857,51.8409640789032
5,3.381153310139974,0.12396535152569413,11.50024636586507,0.0740848134470697,0.9834814851813848,8.636413853509087,0.08974399545363017,11.28414456503732,1.6499765413613723,0.8990476318768094,52.18909668922424
6,3.177820341233854,0.12417534829324317,11.507668526967366,0.06913293174231547,0.9849382754829197,7.978427018438069,0.09700982042011759,11.33292952037993,2.963106741546653,0.8380952491646722,52.03591990470886
7,3.025161555835179,0.12434811215581638,11.513816247667586,0.061705698676215684,0.9867195803021629,7.329795881193513,0.10232587447580024,11.369880403791155,5.494080695603993,0.7863945675139525,52.02418613433838
8,2.9712879048453438,0.12404334039763651,11.517444090048473,0.09088831313797946,0.9806944481200643,6.766357302665711,0.10235302097031047,11.382182342665535,5.215762667387026,0.7500000090471336,52.17427587509155
9,2.9551521198249158,0.12187921859806886,11.513496165805394,0.08672539119864786,0.9816049418331665,6.300559524505858,0.10349720633692211,11.39867709931873,4.803194617494084,0.7317460401663705,52.02712321281433
10,2.900169938935174,0.12098057938636175,11.514134926266141,0.07993580938443595,0.983222225573328,5.904433413914272,0.10504001474806239,11.413244438171386,4.5294489077392175,0.7114285792623247,52.14631199836731
11,2.8149899751248983,0.12132877777189467,11.51810663878316,0.0748447127608258,0.9844444477798965,5.524548508904197,0.10768247008710712,11.429319022537824,4.4656348042885545,0.6848484922152062,52.0613169670105
12,2.7058476469031087,0.12289938536662331,11.525383563394902,0.06902933405050901,0.985709879630142,5.1852642978940695,0.11062315860319705,11.444521415801274,4.494117370692991,0.6634920705996808,52.082979679107666
13,2.5957685424731327,0.12488916491229947,11.53327358115433,0.06384388493723882,0.9868091196585926,4.877950732524578,0.11376990353340631,11.459727916088731,4.460162616055971,0.647619054376424,52.130704402923584
14,2.4923838668399383,0.12687693290663735,11.540918160998634,0.05953970626579958,0.9877513253972646,4.609164256830605,0.11659272919808115,11.473187543907942,4.482974098669841,0.6258503468517137,52.047075033187866
15,2.397541780957469,0.1286641681008041,11.547969195048017,0.05567866385508677,0.9885679037041136,4.372102492763883,0.11904639665569579,11.485226549421037,4.498972150273178,0.6101587367199716,52.0403356552124
16,2.3110730513930315,0.1302339552623582,11.554381962617242,0.0522462666941022,0.9892824097226065,4.164789704339845,0.12105005760011929,11.495483236653463,4.481971266028788,0.5985119111969002,52.0868718624115
17,2.23166381389487,0.13161633604212233,11.560239593655458,0.04919391586912616,0.989912856209512,3.97120943239757,0.12299850914909059,11.50547701571168,4.454600889155516,0.5893557485537367,52.16080594062805
18,2.159433869520823,0.13283041929308742,11.565508217870457,0.04647428552885261,0.9904732530867614,3.8000806163227754,0.12468329893927727,11.514193027738541,4.423544255526929,0.5812169373153693,52.0811448097229
19,2.092179975209877,0.13393826381254356,11.570425415039066,0.04404262873833509,0.9909746608190371,3.642463386955118,0.1262360447667595,11.522346589798317,4.403264983268315,0.5741854696009391,52.02419090270996
20,2.0304311777816872,0.13493302166720647,11.574907924864032,0.04184898806324448,0.9914259277780852,3.5033088943787987,0.12759208748383183,11.529458904266358,4.377220324119221,0.5676190534340483,52.16647529602051
21,1.9731637230941221,0.13583956037022213,11.579050416795038,0.039865925391295465,0.9918342169315097,3.3765773529909096,0.12886554960693633,11.536085219610305,4.330082191102093,0.5616780102354328,52.03244185447693
22,1.9200511505507456,0.1366658291078615,11.582874402132905,0.038063716162232114,0.9922053888891683,3.259436277600078,0.12997809666898344,11.542053631373815,4.310999850184633,0.5556277112624087,52.02878141403198
23,1.8707999635145856,0.1374130497758551,11.58639486285224,0.03641890965779633,0.9925442850244219,3.1515431974245156,0.1309977169640316,11.54755431228543,4.298978968446797,0.5494824072681598,52.05211806297302
24,1.8244088160219014,0.13810230112263794,11.589682626724247,0.03491227883307851,0.992854939815071,3.0509034072359404,0.13192696022313266,11.552677330516632,4.2971063980131445,0.5436507992535119,52.1068754196167
25,1.781037150012122,0.13873283947383364,11.592732334136967,0.033525983389634716,0.9931407422224682,2.9583654631887164,0.13276197233370374,11.557335423060824,4.306201760437606,0.538095243700913,52.01789927482605
26,1.7403134551822628,0.13930972200245237,11.59557108512292,0.03224219356590799,0.9934045598292963,2.8714454838862786,0.13353692318548213,11.561721644558748,4.315419181371569,0.532967038575437,52.216676235198975
27,1.7019877629270275,0.13984153527850782,11.598222954675498,0.031052109804434666,0.9936488353911742,2.7909880826082176,0.13425344240570827,11.56576261066255,4.3195002016022555,0.5282187004962926,52.42006278038025
28,1.6655075494968699,0.14034260361388856,11.600734669064723,0.029948086391688188,0.9938756626986323,2.7156170825568995,0.13490398885796265,11.569517427561234,4.328180641552424,0.5239795974398753,52.23745274543762
29,1.6315065563866917,0.14079208294272252,11.603026896875027,0.02891820149473255,0.994086846743507,2.644139800752912,0.13552540727877266,11.573106497966595,4.332052259030409,0.5201970499210756,52.134549617767334
30,1.598470273039959,0.14123279559563987,11.605272188893075,0.02795883494779392,0.9942839518520568,2.576891605910801,0.13609746513622148,11.576460393269855,4.340404041615937,0.5166666722368626,52.22040367126465
31,1.5675825609101188,0.14162615689492408,11.607327174114927,0.027059788252782064,0.9944683405019904,2.514853898281326,0.13663461862758558,11.579549231287519,4.3362638664760205,0.5133640608548569,52.224748373031616
32,1.5384981506607598,0.1419891412489556,11.609238977233572,0.026216739293558482,0.9946412048613033,2.454659615909415,0.13712907066967872,11.582530541079384,4.344359307424124,0.5104166721991662,52.18489646911621
33,1.5105238783941526,0.14232916169853171,11.611062847163142,0.025424763381828367,0.9948035925927788,2.3982548909785946,0.13760666449219636,11.585360894471535,4.338801843270426,0.5077922132946712,52.060760736465454
34,1.4840739535934784,0.1426475718243084,11.612770216449418,0.02467878344315177,0.9949564281047559,2.3445755283371743,0.1380383338184417,11.587993000735754,4.34528075948166,0.5053221343257347,52.07495093345642
35,1.4585476199596648,0.14295043355563566,11.614411980159701,0.023975367639055514,0.9951005301589058,2.293763981911601,0.13845717186222273,11.590500578588367,4.341913621286311,0.5031292571401109,52.15597367286682
36,1.4342864672986813,0.1432305960941853,11.615943314116683,0.023312269469467094,0.9952366265433805,2.24457009515119,0.13884614121227984,11.59290289878845,4.347530280793316,0.5009259313404086,52.06362748146057
