Epoch,train_gen_loss,train_gen_ssim,train_gen_psnr,train_disc_loss,train_disc_acc,valid_gen_loss,valid_gen_ssim,valid_gen_psnr,valid_disc_loss,valid_disc_acc,Elapsed Time (Seconds)
1,99.94743508232963,0.007530641317781476,10.748136064741345,0.1748973011302749,0.9256944444444445,96.14207111705433,0.009238638237796047,10.777681870893998,0.9872471581805836,0.5,13.651604413986206
2,95.02816645304361,0.012655918517460426,10.7926869975196,0.08803950158031108,0.9628472222222222,93.66403336958452,0.013522469565610994,10.798813689838756,1.251052431084893,0.5,6.008012771606445
3,87.89382454201025,0.020278560556471346,10.859058613247342,0.06352538936369928,0.975,89.4664174860174,0.02017259160338929,10.846318158236416,1.1300492232496089,0.5,6.102848529815674
4,80.53752462599012,0.028916472243145107,10.929910106129118,0.049046161742585866,0.98125,80.56032640283759,0.031241570281880824,10.93745825507424,0.9419608664783564,0.625,5.820535182952881
5,73.88814869350855,0.0377951769489381,10.995408751169842,0.03974204243812387,0.985,72.90384042913264,0.041120758060027254,11.012116605585272,0.8506129486994309,0.6977272727272728,5.924376010894775
6,68.27776011007802,0.04602615922620451,11.051180117218584,0.03344254291720669,0.9874999999999999,66.82914514252634,0.049836758030296274,11.071956836816035,0.8471396886038057,0.6912878787878788,6.0162858963012695
7,63.538396296425454,0.053423439921249476,11.098120121728808,0.028789864779375625,0.9892857142857142,61.88436924327504,0.057477770167608536,11.121046152981844,0.863867681908917,0.6761363636363635,5.933812618255615
8,59.50621626112195,0.059956889855675405,11.137986003028024,0.025282365339030045,0.990625,57.785707365382805,0.06402298838789151,11.16150146180933,0.8804847560822964,0.6619318181818181,6.221002817153931
9,56.032980240715865,0.06571197240946838,11.172296873728435,0.02255560141893062,0.9916666666666667,54.2588694216025,0.06963480381539675,11.196052541636455,0.9050447064818758,0.6480429292929293,6.246102809906006
10,52.996104770236535,0.07083869388327003,11.202278144624499,0.02039620580776601,0.9925,51.164821988886054,0.07461986322463914,11.226206467368383,0.9313378195871007,0.6377840909090908,6.278038263320923
11,50.333290506613366,0.07541211321761813,11.22852889166938,0.018625376248728388,0.9931818181818183,48.49810582941229,0.07913400082702725,11.252154941401203,0.9561772339107577,0.6283574380165289,6.173638820648193
12,47.93204573701928,0.07961395491707933,11.252266446749369,0.01713703969914301,0.99375,46.123500954021104,0.0833856007719243,11.275587667118417,0.9803355275229975,0.6207386363636364,6.136529207229614
13,45.757146740774814,0.08349600455158541,11.273886551001132,0.015861553240933853,0.9942307692307693,43.93666446792496,0.08738295627770931,11.297161789207191,1.011839779315295,0.6125437062937062,5.824275732040405
14,43.78221477705334,0.08707443027357971,11.293534777656433,0.01475860658813742,0.9946428571428572,41.9303698477807,0.09106735564018417,11.317180813132941,1.0441785030937816,0.6047077922077921,5.556119203567505
15,41.98211846881441,0.09038875355626699,11.311509488423663,0.013803820739488366,0.995,40.12891511050138,0.09448686493278452,11.335221920591412,1.0708317613962925,0.5977272727272727,5.872098922729492
16,40.33980280756949,0.09344954328068222,11.327875390979976,0.012964937001141959,0.9953125,38.50290281122382,0.09758080354235557,11.351455997336995,1.1033879824998705,0.5916193181818181,5.87581205368042
17,38.83316125994413,0.09627260419546195,11.342814323948875,0.012223090832217731,0.9955882352941177,37.067207106931974,0.10032996366467864,11.365750272006276,1.132989160676691,0.5863970588235293,5.972979307174683
18,37.456330613736746,0.0988538840107252,11.35640429685145,0.011562761959567631,0.9958333333333333,35.74393803663929,0.10288763872695841,11.378835013418488,1.1540827301114498,0.5817550505050504,5.897587299346924
19,36.188594381990484,0.10124113567456691,11.36887926860162,0.010966092396837032,0.9960526315789474,34.51271823718789,0.10523430794994368,11.391002239793112,1.1892217752750982,0.5773026315789472,5.788610219955444
20,35.01023805936177,0.1034564913633383,11.380464729203116,0.010428902079596203,0.9962500000000001,33.364869109067065,0.1073967364574359,11.402329245480626,1.2152224666692997,0.5732954545454545,5.995001316070557
21,33.91921600866569,0.1055089000346405,11.391152014051162,0.009940520885614748,0.9964285714285714,32.27582082294283,0.1094924404902698,11.413052901561127,1.2363448386842557,0.569534632034632,5.992334842681885
22,32.907506442310826,0.10739552562190878,11.40101823903093,0.009497091728573851,0.9965909090909091,31.3843344420441,0.11118498745120382,11.421707634098274,1.2483646964484998,0.5661157024793387,5.620798110961914
23,31.976268169384642,0.10914123757935808,11.410134557825353,0.009090574033564554,0.9967391304347827,30.449218716074835,0.11291334803470156,11.430894112869685,1.2768743972297718,0.562994071146245,5.857533931732178
24,31.096389310448256,0.11077549623032273,11.418656708576059,0.008718389812161654,0.9968750000000001,29.57398868329598,0.11455953227370186,11.439422072786273,1.2975143935870044,0.5601325757575757,5.964071989059448
25,30.26606752819485,0.11231832451207771,11.42666507381863,0.008374977675016756,0.997,28.76270504171199,0.11605151570994744,11.447272758483887,1.3171633175286381,0.5574999999999999,5.868880748748779
26,29.48543579028203,0.11376233456146896,11.434150269500208,0.008057115668124712,0.9971153846153846,28.03042926821676,0.11738498299545444,11.454224509792729,1.3322880177439511,0.55506993006993,6.120737552642822
27,28.75342959572749,0.11511361729506972,11.441111788730067,0.007763234659430536,0.9972222222222222,27.33172401595197,0.11865826898414376,11.460875231810292,1.3486055128702814,0.5528198653198653,5.965117931365967
28,28.06175899808369,0.11638897957708984,11.447653021888124,0.0074899298483802655,0.9973214285714286,26.656460949352816,0.1199135024058209,11.467270402165203,1.3647128487755729,0.5506290584415584,5.820934772491455
